address,authority,latitude,longitude
3003 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99566956,31.02881594
2715 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99447433,31.02987939
NULL,CHITUNGWIZA MUNICIPALITY,-17.99452998,31.03069828
2975 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99624261,31.02819934
2697 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99440138,31.03090063
3013 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9957003,31.02795251
2784 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99554942,31.03048729
2802 JEKACHEKA,CHITUNGWIZA MUNICIPALITY,-17.99624389,31.02913389
2733 59 CHIEDZA ROAD,CHITUNGWIZA MUNICIPALITY,-17.99500311,31.03021367
2686 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99440698,31.0316774
2727 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99505181,31.02988016
3048 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99452934,31.02911181
3049 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99453307,31.02902342
2827 203 JEKACHEKA ROAD,CHITUNGWIZA MUNICIPALITY,-17.995931,31.03054167
"2822 NYAMASANGO STREET
",CHITUNGWIZA MUNICIPALITY,-17.99608226,31.03024014
2773 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99532563,31.03104793
NULL,CHITUNGWIZA MUNICIPALITY,-17.99481275,31.03183989
2646,CHITUNGWIZA MUNICIPALITY,-17.9963448,31.0325454
8196 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99700102,31.03100309
2638 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9965697,31.03290849
2669 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99649723,31.03334883
NULL,CHITUNGWIZA MUNICIPALITY,-17.99701105,31.03349749
2645 BANGO,CHITUNGWIZA MUNICIPALITY,-17.99656206,31.03251722
2665,CHITUNGWIZA MUNICIPALITY,-17.9963112,31.0330593
2617 BANGO ROAD,CHITUNGWIZA MUNICIPALITY,-17.9964971,31.0337857
2661,CHITUNGWIZA MUNICIPALITY,-17.9962214,31.03298
